analyte,year,month,site,value
flow_mgd,2015,1.0,EBDA,65.9000015259
flow_mgd,2015,2.0,EBDA,70.4000015259
flow_mgd,2015,3.0,EBDA,62.7999992371
flow_mgd,2015,4.0,EBDA,58.0
flow_mgd,2015,5.0,EBDA,55.2000007629
flow_mgd,2015,6.0,EBDA,51.9000015259
flow_mgd,2015,7.0,EBDA,48.8387107849
flow_mgd,2015,8.0,EBDA,49.9774208069
flow_mgd,2015,9.0,EBDA,50.3400001526
flow_mgd,2015,10.0,EBDA,52.793548584
flow_mgd,2015,11.0,EBDA,61.2099990845
flow_mgd,2015,12.0,EBDA,66.0774230957
flow_mgd,2016,1.0,EBDA,74.4387130737
flow_mgd,2016,2.0,EBDA,65.4275894165
flow_mgd,2016,3.0,EBDA,79.567741394
flow_mgd,2016,4.0,EBDA,65.7666702271
flow_mgd,2016,5.0,EBDA,57.732257843
flow_mgd,2016,6.0,EBDA,53.4500007629
ammonia_kgN_per_day,2012,7.0,EBDA,5023.09082031
ammonia_kgN_per_day,2012,8.0,EBDA,6064.7265625
ammonia_kgN_per_day,2012,9.0,EBDA,6311.35253906
ammonia_kgN_per_day,2012,10.0,EBDA,6164.42382812
ammonia_kgN_per_day,2012,11.0,EBDA,7898.43603516
ammonia_kgN_per_day,2012,12.0,EBDA,6549.79492188
ammonia_kgN_per_day,2013,1.0,EBDA,7903.56396484
ammonia_kgN_per_day,2013,2.0,EBDA,7490.8828125
ammonia_kgN_per_day,2013,3.0,EBDA,7727.26513672
ammonia_kgN_per_day,2013,4.0,EBDA,6690.58105469
ammonia_kgN_per_day,2013,5.0,EBDA,6341.08251953
ammonia_kgN_per_day,2013,6.0,EBDA,6399.25634766
ammonia_kgN_per_day,2013,7.0,EBDA,5669.79199219
ammonia_kgN_per_day,2013,8.0,EBDA,6537.77441406
ammonia_kgN_per_day,2013,9.0,EBDA,6522.67333984
ammonia_kgN_per_day,2013,10.0,EBDA,5989.71240234
ammonia_kgN_per_day,2013,11.0,EBDA,8271.92480469
ammonia_kgN_per_day,2013,12.0,EBDA,7744.79150391
ammonia_kgN_per_day,2014,1.0,EBDA,7529.98681641
ammonia_kgN_per_day,2014,2.0,EBDA,8257.69335938
ammonia_kgN_per_day,2014,3.0,EBDA,7395.04101562
ammonia_kgN_per_day,2014,4.0,EBDA,6425.47070312
ammonia_kgN_per_day,2014,5.0,EBDA,6545.97705078
ammonia_kgN_per_day,2014,6.0,EBDA,6413.17333984
ammonia_kgN_per_day,2014,7.0,EBDA,6730.95019531
ammonia_kgN_per_day,2014,8.0,EBDA,6559.70019531
ammonia_kgN_per_day,2014,9.0,EBDA,6239.29980469
ammonia_kgN_per_day,2014,10.0,EBDA,6779.54980469
ammonia_kgN_per_day,2014,11.0,EBDA,7735.66650391
ammonia_kgN_per_day,2014,12.0,EBDA,7471.625
ammonia_kgN_per_day,2015,1.0,EBDA,7765.82519531
ammonia_kgN_per_day,2015,2.0,EBDA,7519.82519531
ammonia_kgN_per_day,2015,3.0,EBDA,7723.125
ammonia_kgN_per_day,2015,4.0,EBDA,6824.125
ammonia_kgN_per_day,2015,5.0,EBDA,7335.0
ammonia_kgN_per_day,2015,6.0,EBDA,7215.0
ammonia_kgN_per_day,2015,7.0,EBDA,6965.51025391
ammonia_kgN_per_day,2015,8.0,EBDA,7133.89208984
ammonia_kgN_per_day,2015,9.0,EBDA,7414.43652344
ammonia_kgN_per_day,2015,10.0,EBDA,7319.19335938
