Date,Month,Year,Flow,TSS ,NH3 ,NO3 ,NO2,PO4 ,OrthoP,OrgN
3/31/1983,3,1983,140,2,1.1,17.1,0,16.7,,1.8
4/30/1983,4,1983,125,1.9,1.3,17.8,0.2,17.6,,1.7
5/31/1983,5,1983,123,1.6,1.6,20.4,0.3,18.3,,2.5
6/30/1983,6,1983,116,1.8,0.8,16.9,0.4,12.7,,1.3
7/31/1983,7,1983,113,1.8,0.7,18.2,0.4,19.7,,1.6
8/31/1983,8,1983,119,1.9,0.7,11.6,0.4,6.2,,1.5
9/30/1983,9,1983,116,2.2,0.8,15.1,0.4,9.9,,1.5
10/31/1983,10,1983,109,2.2,1,15.6,0.4,7.9,,1.7
11/30/1983,11,1983,112,2.4,1,15.3,0.3,15.8,,1.8
12/31/1983,12,1983,117,1.2,1,15,0.3,15.4,,1.6
1/31/1984,1,1984,117,1.9,1.3,18.1,0.1,19.5,,1.5
2/29/1984,2,1984,111,2.4,0.9,19,0.4,17.8,,1.8
3/31/1984,3,1984,115,1.9,0.9,19.6,0.3,17.7,,2.3
4/30/1984,4,1984,116,2.2,1,18.5,0.2,19,,1.9
5/31/1984,5,1984,114,2.1,1.1,18,0.2,20.1,,1.5
6/30/1984,6,1984,114,1.9,1.5,16,0.1,18.1,,1.4
7/31/1984,7,1984,117,4.4,1.1,10.7,0.2,11.7,,1.7
8/31/1984,8,1984,120,1.5,1.4,13.1,0.1,16.4,,1.4
9/30/1984,9,1984,115,1.1,1.2,13.6,,17.2,,1.3
10/31/1984,10,1984,111,1.4,1.3,14.9,0.1,21.9,,1.6
11/30/1984,11,1984,112,1.8,1.3,16.4,0.1,16.3,,1.9
12/31/1984,12,1984,111,2,1.5,20,0.1,26.1,,1.2
1/31/1985,1,1985,111,2,1.4,19.6,0.1,18.5,,1.6
2/28/1985,2,1985,116,1.8,1.8,19.4,0.1,22.3,,1.3
3/31/1985,3,1985,114,1.8,1.6,20.4,0.1,21.9,,1.3
4/30/1985,4,1985,111,1.2,1.8,19.9,0.1,19.5,,0.8
5/31/1985,5,1985,115,2.1,1.9,16.2,0.1,20.8,,1.5
6/30/1985,6,1985,118,2.2,1.5,17.6,0.1,18.1,,1.1
7/31/1985,7,1985,118,1.1,1.5,13.7,0.1,17.3,,1.4
8/31/1985,8,1985,120,2.1,1.5,15.9,0.1,14,,2.0
9/30/1985,9,1985,118,1.2,1.7,16.4,0.1,14.4,,1.5
10/31/1985,10,1985,116,1.2,1.8,18.1,0.1,18.8,,0.9
11/30/1985,11,1985,115,1.3,1.8,22.4,0.2,20.9,,1.3
12/31/1985,12,1985,114,0.9,1.9,24.8,0.1,19.1,,1.0
1/31/1986,1,1986,115,1.1,1.7,22.5,0.1,15.6,,0.8
2/28/1986,2,1986,132,1,1.6,16.6,0.1,11.2,,1.2
