,Time,flow mgd
1238,2013-11-21,7.1955
1239,2013-11-22,7.3195
1240,2013-11-23,7.217
1241,2013-11-24,7.342499999999999
1242,2013-11-25,6.9605
1243,2013-11-26,7.195
1244,2013-11-27,6.5705
1245,2013-11-28,6.612500000000001
1246,2013-11-29,5.968
1247,2013-11-30,5.71
1248,2013-12-01,5.859
1249,2013-12-02,6.088
1250,2013-12-03,5.829
1251,2013-12-04,5.8475
1252,2013-12-05,6.270999999999999
1253,2013-12-06,6.0905000000000005
1254,2013-12-07,6.1015
1255,2013-12-08,6.0725
1256,2013-12-09,6.0875
1257,2013-12-10,6.3315
1258,2013-12-11,6.0305
1259,2013-12-12,5.921
1260,2013-12-13,6.0655
1261,2013-12-14,6.1445
1262,2013-12-15,5.689
1263,2013-12-16,5.5815
1264,2013-12-17,6.104500000000001
1265,2013-12-18,5.824999999999999
1266,2013-12-19,5.892
1267,2013-12-20,5.714
1268,2013-12-21,6.0024999999999995
1269,2013-12-22,6.0995
1270,2013-12-23,6.159
1271,2013-12-24,6.2305
1272,2013-12-25,5.856999999999999
1273,2013-12-26,5.88
1274,2013-12-27,5.601
1275,2013-12-28,6.232000000000001
1276,2013-12-29,6.234
1277,2013-12-30,6.2155000000000005
1278,2013-12-31,5.9125
1279,2014-01-01,5.414999999999999
1280,2014-01-02,5.455
1281,2014-01-03,5.475
1282,2014-01-04,6.075
1283,2014-01-05,6.385
1284,2014-01-06,5.915
1285,2014-01-07,5.75
1286,2014-01-08,5.68
1287,2014-01-09,5.555
1288,2014-01-10,5.38
1289,2014-01-11,5.52
1290,2014-01-12,5.975
1291,2014-01-13,5.49
1292,2014-01-14,5.49
1293,2014-01-15,5.365
1294,2014-01-16,5.470000000000001
1295,2014-01-17,5.385
1296,2014-01-18,5.99
1297,2014-01-19,5.635
1298,2014-01-20,5.585
1299,2014-01-21,5.65
1300,2014-01-22,5.715
1301,2014-01-23,5.775
1302,2014-01-24,5.539999999999999
1303,2014-01-25,5.495
1304,2014-01-26,5.369999999999999
1305,2014-01-27,5.705
1306,2014-01-28,5.5600000000000005
1307,2014-01-29,5.513999999999999
1308,2014-01-30,5.531499999999999
1309,2014-01-31,5.3795
1310,2014-02-01,5.566
1311,2014-02-02,5.6015
1312,2014-02-03,5.4985
1313,2014-02-04,5.9715
1314,2014-02-05,6.1315
1315,2014-02-06,5.8985
1316,2014-02-07,5.6485
1317,2014-02-08,5.5264999999999995
1318,2014-02-09,5.4795
1319,2014-02-10,5.442
1320,2014-02-11,5.4655000000000005
1321,2014-02-12,5.74
1322,2014-02-13,5.3965
1323,2014-02-14,5.3645
1324,2014-02-15,5.34
1325,2014-02-16,5.518000000000001
1326,2014-02-17,5.683999999999999
1327,2014-02-18,5.897
1328,2014-02-19,5.534
1329,2014-02-20,5.455
1330,2014-02-21,5.59
1331,2014-02-22,5.6365
1332,2014-02-23,5.802
1333,2014-02-24,5.435499999999999
1334,2014-02-25,5.416
1335,2014-02-26,5.102
1336,2014-02-27,5.584
1337,2014-02-28,6.244
1338,2014-03-01,6.36
1339,2014-03-02,6.135
1340,2014-03-03,6.0985000000000005
1341,2014-03-04,6.055
1342,2014-03-05,5.891
1343,2014-03-06,5.958
1344,2014-03-07,5.7795000000000005
1345,2014-03-08,5.9879999999999995
1346,2014-03-09,5.583499999999999
1347,2014-03-10,5.846
1348,2014-03-11,5.8635
1349,2014-03-12,5.489000000000001
1350,2014-03-13,5.583
1351,2014-03-14,5.7540000000000004
1352,2014-03-15,5.887499999999999
1353,2014-03-16,6.1115
1354,2014-03-17,5.81
1355,2014-03-18,5.737500000000001
1356,2014-03-19,5.037
1357,2014-03-20,5.853
1358,2014-03-21,5.906000000000001
1359,2014-03-22,6.0665
1360,2014-03-23,6.134
1361,2014-03-24,5.9775
1362,2014-03-25,5.922
1363,2014-03-26,5.9135
1364,2014-03-27,5.676500000000001
1365,2014-03-28,5.911
1366,2014-03-29,6.1045
1367,2014-03-30,6.1695
1368,2014-03-31,5.905
1369,2014-04-01,5.901999999999999
1370,2014-04-02,5.9295
1371,2014-04-03,5.879
1372,2014-04-04,5.895
1373,2014-04-05,5.8765
1374,2014-04-06,5.834
1375,2014-04-07,6.081
1376,2014-04-08,5.9965
1377,2014-04-09,5.8705
1378,2014-04-10,6.045
1379,2014-04-11,6.04
1380,2014-04-12,5.9205000000000005
1381,2014-04-13,6.128
1382,2014-04-14,6.0585
1383,2014-04-15,5.835
1384,2014-04-16,5.876
1385,2014-04-17,5.945
1386,2014-04-18,5.8905
1387,2014-04-19,5.8065
1388,2014-04-20,5.7585
1389,2014-04-21,5.2865
1390,2014-04-22,5.9105
1391,2014-04-23,5.7925
1392,2014-04-24,5.8445
1393,2014-04-25,5.8004999999999995
1394,2014-04-26,5.8705
1395,2014-04-27,6.0625
1396,2014-04-28,6.013
1397,2014-04-29,5.5405
1398,2014-04-30,5.849
1399,2014-05-01,5.7669999999999995
1400,2014-05-02,5.7885
1401,2014-05-03,5.7885
1402,2014-05-04,6.0954999999999995
1403,2014-05-05,3.5976666666666666
1404,2014-05-06,4.869333333333333
1405,2014-05-07,5.418333333333333
1406,2014-05-08,3.37575
1407,2014-05-09,5.956
1408,2014-05-10,5.667
1409,2014-05-11,6.212
1410,2014-05-12,6.0345
1411,2014-05-13,6.02
1412,2014-05-14,5.827500000000001
1413,2014-05-15,5.5365
1414,2014-05-16,5.695
1415,2014-05-17,5.8065
1416,2014-05-18,5.784
1417,2014-05-19,6.089499999999999
1418,2014-05-20,5.837999999999999
1419,2014-05-21,5.9145
1420,2014-05-22,5.4399999999999995
1421,2014-05-23,5.850499999999999
1422,2014-05-24,5.68
1423,2014-05-25,5.943
1424,2014-05-26,5.804500000000001
1425,2014-05-27,6.119999999999999
1426,2014-05-28,6.138999999999999
