,NH3 mg/L N,Time
633,0.4,2015-05-18 10:44:00
634,0.1,2015-05-18 10:50:00
635,0.3,2015-05-18 14:20:00
636,0.2,2015-05-19 10:30:00
637,0.2,2015-05-25 07:41:00
638,11.5,2015-05-25 07:45:00
639,9.7,2015-05-25 09:18:00
640,0.3,2015-05-25 10:47:00
641,0.1,2015-05-25 12:07:00
642,7.8,2015-05-31 07:22:00
643,0.3,2015-06-01 08:05:00
644,0.2,2015-06-01 10:43:00
645,0.1,2015-06-01 10:48:00
646,0.2,2015-06-08 08:13:00
647,0.2,2015-06-08 10:39:00
648,0.1,2015-06-08 10:47:00
649,0.2,2015-06-15 08:08:00
650,0.1,2015-06-15 10:40:00
651,0.1,2015-06-15 10:45:00
652,0.1,2015-06-22 10:37:00
653,0.1,2015-06-22 10:55:00
654,0.1,2015-06-22 11:14:00
655,0.1,2015-06-29 08:15:00
656,0.1,2015-06-29 10:44:00
657,0.1,2015-06-29 10:49:00
658,0.2,2015-07-06 08:17:00
659,0.1,2015-07-13 08:22:00
660,0.1,2015-07-20 08:22:00
661,0.2,2015-07-27 08:04:00
662,0.1,2015-08-03 08:22:00
663,0.2,2015-08-10 08:28:00
664,0.3,2015-08-17 08:23:00
665,0.1,2015-08-24 08:08:00
666,0.1,2015-08-31 08:23:00
667,1.2,2015-09-07 08:02:00
668,0.3,2015-09-14 08:00:00
669,0.2,2015-09-21 08:10:00
670,0.3,2015-09-28 08:14:00
671,2.8,2015-10-05 08:11:00
672,0.2,2015-10-12 08:29:00
673,0.3,2015-10-19 08:16:00
674,0.3,2015-10-26 08:00:00
675,0.7,2015-11-02 11:25:00
676,1.4,2015-11-09 08:14:00
677,1.3,2015-11-16 08:28:00
678,2.9,2015-11-23 08:22:00
679,1.8,2015-11-30 08:16:00
680,1.1,2015-12-07 07:54:00
681,2.0,2015-12-14 08:25:00
682,0.5,2015-12-21 08:08:00
683,0.4,2015-12-28 08:14:00
684,0.3,2016-01-04 08:17:00
685,0.2,2016-01-11 08:22:00
686,0.1,2016-01-19 08:11:00
687,0.3,2016-01-25 08:20:00
688,0.3,2016-02-01 07:57:00
689,0.3,2016-02-08 08:10:00
690,0.3,2016-02-15 07:51:00
691,0.6,2016-02-22 08:21:00
692,0.3,2016-02-29 08:06:00
693,0.4,2016-03-07 08:20:00
694,0.7,2016-03-14 08:36:00
695,0.6,2016-03-21 07:54:00
696,0.4,2016-03-28 08:15:00
697,0.1,2016-04-07 13:06:00
698,0.8,2016-04-11 08:07:00
699,0.9,2016-04-18 07:55:00
700,0.6,2016-04-25 08:20:00
701,0.2,2016-05-04 11:19:00
702,0.3,2016-05-09 08:08:00
703,0.4,2016-05-16 08:18:00
704,0.3,2016-05-23 08:33:00
705,0.5,2016-06-13 08:39:00
706,0.5,2016-06-20 08:15:00
707,0.3,2016-07-04 13:52:00
708,0.5,2016-07-11 08:20:00
709,0.3,2016-07-24 11:15:00
710,0.1,2016-08-05 08:18:00
711,0.2,2016-08-08 08:28:00
712,0.3,2016-08-19 10:20:00
713,0.4,2016-08-22 08:20:00
714,0.1,2016-08-29 08:42:00
715,0.3,2016-09-05 08:01:00
716,0.2,2016-09-12 08:17:00
717,0.2,2016-09-19 08:34:00
718,0.2,2016-09-26 07:47:00
719,0.2,2016-10-03 08:14:00
720,0.2,2016-10-09 08:57:00
721,0.2,2016-10-17 08:23:00
722,0.4,2016-10-24 09:35:00
723,1.0,2016-10-31 08:33:00
724,3.0,2016-12-05 08:15:00
725,2.2,2016-12-11 07:55:00
726,0.9,2016-12-20 08:17:00
727,2.5,2016-12-26 08:29:00
728,1.5,2017-01-02 07:32:00
729,2.1,2017-01-08 07:56:00
730,1.28,2017-01-11 08:00:00
731,0.13,2017-01-11 10:35:00
732,2.2,2017-01-16 07:36:00
